nombreColumna,numeroTabla,numeroColumna,frecuenciaUso,cantidadBytesMysql
CategoryID,1,1,0.015267176,4
CategoryName,1,2,0.038167939,17
Description,1,3,0.001908397,16777215
Picture,1,4,0.005725191,4294967295
CustomerID,2,1,0,7
CustomerTypeID,2,2,0,12
CustomerTypeID,3,1,0,12
CustomerDesc,3,2,0,16777215
CustomerID,4,1,0.015267176,7
CompanyName,4,2,0.030534351,42
ContactName,4,3,0.003816794,32
ContactTitle,4,4,0.001908397,32
Address,4,5,0.007633588,62
City,4,6,0.028625954,17
Region,4,7,0.022900763,17
PostalCode,4,8,0.022900763,12
Country,4,9,0.007633588,17
Phone,4,10,0.005725191,26
Fax,4,11,0,26
EmployeeID,5,1,0.005725191,4
LastName,5,2,0.022900763,22
FirstName,5,3,0.005725191,12
Title,5,4,0.001908397,32
TitleOfCourtesy,5,5,0.001908397,27
BirthDate,5,6,0.001908397,8
HireDate,5,7,0.001908397,8
Address,5,8,0.005725191,62
City,5,9,0.003816794,17
Region,5,10,0.005725191,17
PostalCode,5,11,0.019083969,12
Country,5,12,0.003816794,17
HomePhone,5,13,0.001908397,26
Extension,5,14,0.001908397,6
Photo,5,15,0.003816794,4294967295
Notes,5,16,0.003816794,16777215
ReportsTo,5,17,0.003816794,4
PhotoPath,5,18,0.001908397,257
Salary,5,19,0.007633588,4
EmployeeID,6,1,0.003816794,4
TerritoryID,6,2,0.003816794,22
OrderID,7,1,0.045801527,4
ProductID,7,2,0.036259542,4
UnitPrice,7,3,0.011450382,8
Quantity,7,4,0.011450382,2
Discount,7,5,0.017175573,8
OrderID,8,1,0.017175573,4
CustomerID,8,2,0.032442748,7
EmployeeID,8,3,0.02480916,4
OrderDate,8,4,0.030534351,8
RequiredDate,8,5,0.007633588,8
ShippedDate,8,6,0.045801527,8
ShipVia,8,7,0.022900763,4
Freight,8,8,0.007633588,8
ShipName,8,9,0.007633588,42
ShipAddress,8,10,0.007633588,62
ShipCity,8,11,0.007633588,17
ShipRegion,8,12,0.007633588,17
ShipPostalCode,8,13,0.022900763,12
ShipCountry,8,14,0.007633588,17
ProductID,9,1,0.015267176,4
ProductName,9,2,0.055343511,42
SupplierID,9,3,0.019083969,4
CategoryID,9,4,0.028625954,4
QuantityPerUnit,9,5,0.003816794,22
UnitPrice,9,6,0.013358779,8
UnitsInStock,9,7,0.017175573,2
UnitsOnOrder,9,8,0.017175573,2
ReorderLevel,9,9,0.003816794,2
Discontinued,9,10,0.017175573,1
RegionID,10,1,0.005725191,4
RegionDescription,10,2,0.003816794,52
ShipperID,11,1,0.007633588,4
CompanyName,11,2,0.019083969,42
Phone,11,3,0.007633588,26
SupplierID,12,1,0.005725191,4
CompanyName,12,2,0.007633588,42
ContactName,12,3,0.003816794,32
ContactTitle,12,4,0.001908397,32
Address,12,5,0.005725191,62
City,12,6,0.005725191,17
Region,12,7,0.005725191,17
PostalCode,12,8,0.019083969,12
Country,12,9,0.003816794,17
Phone,12,10,0.005725191,26
Fax,12,11,0,26
HomePage,12,12,0.001908397,16777215
TerritoryID,13,1,0.001908397,22
TerritoryDescription,13,2,0.001908397,52
RegionID,13,3,0.001908397,4
