fitness,iteraciones,tiempoEjecucion
0.00108970,153,236
0.00140150,145,149
0.00138600,114,142
0.00130870,103,119
0.00139938,107,87
0.00111720,136,182
0.00105490,170,239
0.00125590,124,135
0.00134790,126,144
0.00158810,157,194
0.00189570,113,135
0.00124150,104,97
0.00127490,108,116
0.00154563,104,130
0.00152330,103,127
0.00107130,125,107
0.00113890,102,65
0.00183887,126,179
0.00124070,107,123
0.00132180,105,110
0.00200380,121,125
0.00113270,110,114
0.00149430,101,102
0.00117780,135,119
0.00125550,111,130
0.00143410,101,120
0.00140725,118,57
0.00160400,101,54
0.00123060,103,110
0.00138290,103,66
0.00117550,102,111
0.00172750,101,80
0.00171172,107,51
0.00143250,122,70
0.00105480,164,215
0.00108220,207,195
0.00165480,101,108
0.00112900,141,121
0.00115720,116,86
0.00137588,217,164
0.00151570,111,194
0.00117970,116,139
0.00108900,122,149
0.00121130,136,164
0.00188280,106,119
0.00182000,103,72
0.00112820,116,191
0.00179090,112,134
0.00145870,102,104
0.00128150,133,183
0.00118750,106,103
0.00131460,210,165
0.00161860,123,163
0.00108070,127,157
0.00147030,108,127
0.00146838,101,90
0.00158900,104,132
0.00145013,151,172
0.00124150,142,119
0.00138430,103,154
0.00112240,111,103
0.00127950,106,146
0.00115530,123,167
0.00135688,195,145
0.00161263,146,163
0.00117520,140,176
0.00127900,102,116
0.00118650,105,123
0.00119750,122,176
0.00106030,189,206
0.00103830,111,136
0.00119850,209,227
0.00107440,101,123
0.00110250,141,110
0.00150760,152,207
0.00110050,134,152
0.00136663,113,129
0.00118000,108,76
0.00119060,107,79
0.00108310,101,112
0.00110320,105,117
0.00138620,127,107
0.00107160,196,306
0.00133110,110,145
0.00104920,152,116
0.00105190,198,269
0.00137675,118,107
0.00170775,102,97
0.00139025,161,163
0.00198238,113,91
0.00119840,108,118
0.00140563,102,132
0.00173070,103,113
0.00126840,290,238
0.00117250,207,290
0.00106060,227,346
0.00111910,152,165
0.00159120,134,217
0.00154513,101,91
0.00157330,104,142
0.00135360,103,69
0.00143775,103,94
0.00120780,107,109
0.00108870,159,223
0.00136130,102,138
0.00165260,101,80
0.00163600,109,131
0.00114040,129,180
0.00127950,101,83
0.00145010,106,119
0.00109100,102,87
0.00113490,120,138
0.00146360,122,120
0.00150080,102,127
0.00107530,125,166
0.00108730,101,145
0.00173810,179,280
0.00120020,122,120
0.00172670,107,136
0.00130890,126,188
0.00169137,108,124
0.00115140,124,152
0.00157890,104,98
0.00125080,157,139
0.00135225,101,139
0.00130020,120,131
0.00117560,101,140
0.00118310,104,102
0.00109960,255,251
0.00165588,107,71
0.00114380,106,100
0.00192550,101,147
0.00116060,123,116
0.00138537,106,117
0.00105820,157,178
0.00182190,142,142
0.00113040,105,121
0.00154490,111,82
0.00119000,118,142
0.00129760,101,113
0.00139020,102,154
0.00139100,120,97
0.00128060,102,88
0.00109810,160,226
0.00107170,135,176
0.00145975,101,94
0.00109890,101,99
0.00107370,122,78
0.00148780,102,132
0.00106570,105,100
0.00121260,104,85
0.00118590,219,212
0.00105650,315,349
0.00120630,117,145
0.00135320,101,115
0.00134975,108,80
0.00121900,105,128
0.00143920,101,134
0.00168790,134,166
0.00106040,107,116
