nombreColumna,numeroTabla,numeroColumna,frecuenciaUso,cantidadBytes,esPK
AlbumId,1,1,0.010714286,4,1
ArtistId,1,2,0.010714286,4,1
Title,1,3,0.017857143,162,0
ArtistId,2,1,0.014285714,4,1
Name,2,2,0.014285714,122,0
Address,3,1,0.010714286,72,0
City,3,2,0.007142857,42,0
Company,3,3,0.007142857,82,0
Country,3,4,0.007142857,42,0
CustomerId,3,5,0.021428571,4,1
Email,3,6,0.017857143,62,0
Fax,3,7,0.003571429,26,0
FirstName,3,8,0.017857143,42,0
LastName,3,9,0.017857143,22,0
Phone,3,10,0.010714286,26,0
PostalCode,3,11,0.010714286,12,0
State,3,12,0.007142857,42,0
SupportRepId,3,13,0.017857143,4,1
Address,4,1,0.010714286,72,0
BirthDate,4,2,0.014285714,8,0
City,4,3,0.007142857,42,0
Country,4,4,0.003571429,42,0
Email,4,5,0.021428571,62,0
EmployeeId,4,6,0.017857143,4,1
Fax,4,7,0.003571429,26,0
FirstName,4,8,0.025,22,0
HireDate,4,9,0.014285714,8,0
LastName,4,10,0.028571429,22,0
Phone,4,11,0.025,26,0
PostalCode,4,12,0.014285714,12,0
ReportsTo,4,13,0.014285714,4,1
State,4,14,0.003571429,42,0
Title,4,15,0.007142857,32,0
GenreId,5,1,0.021428571,4,1
Name,5,2,0.021428571,122,0
BillingAddress,6,1,0.010714286,72,0
BillingCity,6,2,0.010714286,42,0
BillingCountry,6,3,0.007142857,42,0
BillingPostalCode,6,4,0.025,12,0
BillingState,6,5,0.017857143,42,0
CustomerId,6,6,0.025,4,1
InvoiceDate,6,7,0.010714286,8,0
InvoiceId,6,8,0.021428571,4,1
Total,6,9,0.028571429,8,0
InvoiceId,7,1,0.017857143,4,1
InvoiceLineId,7,2,0.017857143,4,1
Quantity,7,3,0.017857143,4,0
TrackId,7,4,0.017857143,4,1
UnitPrice,7,5,0.014285714,8,0
MediaTypeId,8,1,0.017857143,4,1
Name,8,2,0.017857143,122,0
Name,9,1,0.014285714,122,0
PlaylistId,9,2,0.014285714,4,1
PlaylistId,10,1,0.014285714,4,1
TrackId,10,2,0.014285714,4,1
AlbumId,11,1,0.021428571,4,1
Bytes,11,2,0.007142857,4,0
Composer,11,3,0.025,222,0
GenreId,11,4,0.017857143,4,1
MediaTypeId,11,5,0.014285714,4,1
Milliseconds,11,6,0.021428571,4,0
Name,11,7,0.028571429,202,0
TrackId,11,8,0.028571429,4,1
UnitPrice,11,9,0.021428571,8,0
