nombreColumna,numeroTabla,numeroColumna,frecuenciaUso,cantidadBytes,esPK
dept_no,1,1,0.042735043,4,1
dept_name,1,2,0.068376068,42,0
emp_no,2,1,0.034188034,4,1
dept_no,2,2,0.034188034,4,1
from_date,2,3,0.05982906,3,0
to_date,2,4,0.05982906,3,0
emp_no,3,1,0.025641026,4,1
dept_no,3,2,0.025641026,4,1
from_date,3,3,0.034188034,3,0
to_date,3,4,0.034188034,3,0
emp_no,4,1,0.042735043,4,1
birth_date,4,2,0.017094017,3,0
first_name,4,3,0.068376068,16,0
last_name,4,4,0.076923077,18,0
gender,4,5,0.025641026,2,0
hire_date,4,6,0.051282051,3,0
emp_no,5,1,0.042735043,4,1
salary,5,2,0.076923077,4,0
from_date,5,3,0.017094017,3,1
to_date,5,4,0.017094017,3,0
emp_no,6,1,0.025641026,4,1
title,6,2,0.051282051,52,1
from_date,6,3,0.034188034,3,0
to_date,6,4,0.034188034,3,0
