nombreColumna,numeroTabla,numeroColumna,frecuenciaUso,cantidadBytes,esPK
CategoryID,1,1,0.015267176,4,1
CategoryName,1,2,0.038167939,17,0
Description,1,3,0.001908397,16777215,0
Picture,1,4,0.005725191,4294967295,0
CustomerID,2,1,0,7,1
CustomerTypeID,2,2,0,12,1
CustomerTypeID,3,1,0,12,1
CustomerDesc,3,2,0,16777215,0
CustomerID,4,1,0.015267176,7,1
CompanyName,4,2,0.030534351,42,0
ContactName,4,3,0.003816794,32,0
ContactTitle,4,4,0.001908397,32,0
Address,4,5,0.007633588,62,0
City,4,6,0.028625954,17,0
Region,4,7,0.022900763,17,0
PostalCode,4,8,0.022900763,12,0
Country,4,9,0.007633588,17,0
Phone,4,10,0.005725191,26,0
Fax,4,11,0,26,0
EmployeeID,5,1,0.005725191,4,1
LastName,5,2,0.022900763,22,0
FirstName,5,3,0.005725191,12,0
Title,5,4,0.001908397,32,0
TitleOfCourtesy,5,5,0.001908397,27,0
BirthDate,5,6,0.001908397,8,0
HireDate,5,7,0.001908397,8,0
Address,5,8,0.005725191,62,0
City,5,9,0.003816794,17,0
Region,5,10,0.005725191,17,0
PostalCode,5,11,0.019083969,12,0
Country,5,12,0.003816794,17,0
HomePhone,5,13,0.001908397,26,0
Extension,5,14,0.001908397,6,0
Photo,5,15,0.003816794,4294967295,0
Notes,5,16,0.003816794,16777215,0
ReportsTo,5,17,0.003816794,4,1
PhotoPath,5,18,0.001908397,257,0
Salary,5,19,0.007633588,4,0
EmployeeID,6,1,0.003816794,4,1
TerritoryID,6,2,0.003816794,22,1
OrderID,7,1,0.045801527,4,1
ProductID,7,2,0.036259542,4,1
UnitPrice,7,3,0.011450382,8,0
Quantity,7,4,0.011450382,2,0
Discount,7,5,0.017175573,8,0
OrderID,8,1,0.017175573,4,1
CustomerID,8,2,0.032442748,7,1
EmployeeID,8,3,0.02480916,4,1
OrderDate,8,4,0.030534351,8,0
RequiredDate,8,5,0.007633588,8,0
ShippedDate,8,6,0.045801527,8,0
ShipVia,8,7,0.022900763,4,1
Freight,8,8,0.007633588,8,0
ShipName,8,9,0.007633588,42,0
ShipAddress,8,10,0.007633588,62,0
ShipCity,8,11,0.007633588,17,0
ShipRegion,8,12,0.007633588,17,0
ShipPostalCode,8,13,0.022900763,12,0
ShipCountry,8,14,0.007633588,17,0
ProductID,9,1,0.015267176,4,1
ProductName,9,2,0.055343511,42,0
SupplierID,9,3,0.019083969,4,1
CategoryID,9,4,0.028625954,4,1
QuantityPerUnit,9,5,0.003816794,22,0
UnitPrice,9,6,0.013358779,8,0
UnitsInStock,9,7,0.017175573,2,0
UnitsOnOrder,9,8,0.017175573,2,0
ReorderLevel,9,9,0.003816794,2,0
Discontinued,9,10,0.017175573,1,0
RegionID,10,1,0.005725191,4,1
RegionDescription,10,2,0.003816794,52,0
ShipperID,11,1,0.007633588,4,1
CompanyName,11,2,0.019083969,42,0
Phone,11,3,0.007633588,26,0
SupplierID,12,1,0.005725191,4,1
CompanyName,12,2,0.007633588,42,0
ContactName,12,3,0.003816794,32,0
ContactTitle,12,4,0.001908397,32,0
Address,12,5,0.005725191,62,0
City,12,6,0.005725191,17,0
Region,12,7,0.005725191,17,0
PostalCode,12,8,0.019083969,12,0
Country,12,9,0.003816794,17,0
Phone,12,10,0.005725191,26,0
Fax,12,11,0,26,0
HomePage,12,12,0.001908397,16777215,0
TerritoryID,13,1,0.001908397,22,1
TerritoryDescription,13,2,0.001908397,52,0
RegionID,13,3,0.001908397,4,1
