fitness,iteraciones,tiempoEjecucion
0.00192763,104,104
0.00144825,101,78
0.00858525,101,88
0.00188725,102,86
0.00133525,101,74
0.00279863,106,96
0.00203100,103,60
0.00187025,110,101
0.00176950,128,130
0.00218738,101,110
0.00150087,102,59
0.00179238,123,126
0.00243075,101,80
0.00774750,135,85
0.00189788,101,89
0.00196313,101,101
0.00213213,102,107
0.00146037,104,73
0.00354463,110,60
0.00154050,102,106
0.00176512,102,98
0.00136663,134,79
0.00259937,107,92
0.00263350,127,121
0.00129563,124,46
0.00141025,101,95
0.00141013,109,69
0.00136525,109,60
0.00294800,102,105
0.00229112,101,98
0.00222050,101,93
0.00266188,102,106
0.00167787,122,106
0.00168125,107,89
0.00171413,102,109
0.00130475,101,46
0.00136163,103,117
0.00194550,102,85
0.00146788,103,81
0.00128763,101,102
0.00138187,101,83
0.00800625,101,98
0.00183487,101,125
0.00129825,117,62
0.00154938,104,78
0.00141175,102,89
0.00129650,111,99
0.00201688,102,128
0.00178575,102,108
0.00252413,101,100
0.00171219,157,125
0.00178913,101,88
0.00191016,182,150
0.00176900,149,177
0.00283137,101,86
0.00134862,126,116
0.00211163,101,131
0.00178313,102,78
0.00159075,101,123
0.00812400,132,137
0.00567038,101,171
0.00999300,109,178
0.00339488,104,198
0.00904350,101,117
0.00145238,130,169
0.00315875,101,170
0.00227712,127,175
0.00279463,102,128
0.00402450,101,108
0.00188500,113,86
0.00239513,101,100
0.00241650,102,50
0.00181475,104,122
0.00223987,113,98
0.00203400,199,238
0.00228762,101,61
0.00181337,105,133
0.00234175,101,123
0.00198213,101,103
0.00157563,107,112
0.00199738,101,132
0.00175988,116,62
0.00248625,103,117
0.00243275,125,171
0.00243300,101,107
0.00146738,101,66
0.00919500,104,97
0.00217813,102,95
0.00159338,147,122
0.00213550,221,231
0.00225125,101,108
0.01124325,103,118
0.00165488,101,106
0.00275575,138,191
0.00922725,101,116
0.00148125,101,75
0.00993525,102,74
0.00207300,105,105
0.01030800,101,144
0.00147100,101,120
0.00200325,108,114
0.00858000,101,97
0.00226050,120,157
0.00286388,101,145
0.00250100,101,93
0.00263950,114,124
0.00176912,101,119
0.00171337,136,142
0.00185212,112,129
0.00187313,109,84
0.00192638,102,79
0.00184100,110,82
0.00911850,107,86
0.00765150,180,163
0.00237325,104,115
0.00177688,193,139
0.00282625,103,106
0.00152750,101,85
0.00239188,101,124
0.00298538,101,77
0.00193488,102,96
0.00191513,104,94
0.00273963,110,97
0.00221663,101,105
0.00132400,204,193
0.00133600,101,74
0.00140900,101,134
0.00211550,116,67
0.00244413,101,122
0.00932025,103,108
0.00798300,101,85
0.00183112,102,96
0.00231388,101,119
0.00823875,148,158
0.00183875,102,39
0.00261325,101,65
0.00236875,101,135
0.00370063,134,159
0.00213150,101,99
0.00196813,104,123
0.00208250,101,86
0.00201425,126,148
0.00187825,104,97
0.00226425,167,170
0.00178050,106,66
0.00168125,111,68
0.00190350,103,92
0.00175188,117,113
0.00183000,102,75
0.00169275,108,21
0.00168575,103,130
0.00221138,102,95
0.00270150,104,115
0.00215075,159,149
0.00208963,102,119
0.00232625,110,165
0.00779550,190,168
0.00159750,102,79
0.00201263,110,113
0.00165800,102,79
